Map,Safe prob,Delay prob,Number of agents,Number of goals,Instance,Algorithm,Runtime,Planner calls,Sum Of Cost
empty-32-32,0.8,0.1,10,50,19,RCbssEff,6.28961,1,285
empty-32-32,0.8,0.1,10,50,19,IDP,6.22185,1,285
empty-32-32,0.8,0.1,10,50,19,IRC,6.09811,1,320
empty-32-32,0.8,0.1,10,50,20,RCbssEff,6.2521,1,266
empty-32-32,0.8,0.1,10,50,20,IDP,6.2581,1,266
empty-32-32,0.8,0.1,10,50,20,IRC,6.25626,1,300
empty-32-32,0.8,0.1,25,10,1,RCbssEff,0.94925,1,67
empty-32-32,0.8,0.1,25,10,1,IDP,1.01855,1,67
empty-32-32,0.8,0.1,25,10,1,IRC,0.99309,1,71
empty-32-32,0.8,0.1,25,10,2,RCbssEff,0.89749,1,56
empty-32-32,0.8,0.1,25,10,2,IDP,0.89937,1,56
empty-32-32,0.8,0.1,25,10,2,IRC,0.90192,1,61
empty-32-32,0.8,0.1,25,10,3,RCbssEff,0.9493,1,56
empty-32-32,0.8,0.1,25,10,3,IDP,0.92537,1,56
empty-32-32,0.8,0.1,25,10,3,IRC,0.92372,1,64
empty-32-32,0.8,0.1,25,10,4,RCbssEff,0.96969,1,56
empty-32-32,0.8,0.1,25,10,4,IDP,0.9437,1,56
empty-32-32,0.8,0.1,25,10,4,IRC,0.9901,1,71
empty-32-32,0.8,0.1,25,10,5,RCbssEff,0.91762,1,60
empty-32-32,0.8,0.1,25,10,5,IDP,0.91468,1,60
empty-32-32,0.8,0.1,25,10,5,IRC,0.87687,1,65
empty-32-32,0.8,0.1,25,10,6,RCbssEff,0.94423,1,61
empty-32-32,0.8,0.1,25,10,6,IDP,0.91718,1,61
empty-32-32,0.8,0.1,25,10,6,IRC,0.93833,1,69
empty-32-32,0.8,0.1,25,10,7,RCbssEff,0.97246,1,52
empty-32-32,0.8,0.1,25,10,7,IDP,1.19154,1,52
empty-32-32,0.8,0.1,25,10,7,IRC,0.98836,1,60
empty-32-32,0.8,0.1,25,10,8,RCbssEff,0.95292,1,67
empty-32-32,0.8,0.1,25,10,8,IDP,0.95292,1,67
empty-32-32,0.8,0.1,25,10,8,IRC,0.96711,1,78
empty-32-32,0.8,0.1,25,10,9,RCbssEff,0.9258,1,62
empty-32-32,0.8,0.1,25,10,9,IDP,0.93983,1,62
empty-32-32,0.8,0.1,25,10,9,IRC,0.94003,1,69
empty-32-32,0.8,0.1,25,10,10,RCbssEff,0.95048,1,65
empty-32-32,0.8,0.1,25,10,10,IDP,0.93538,1,65
empty-32-32,0.8,0.1,25,10,10,IRC,0.94589,1,78
empty-32-32,0.8,0.1,25,10,11,RCbssEff,0.92456,1,67
empty-32-32,0.8,0.1,25,10,11,IDP,0.93665,1,67
empty-32-32,0.8,0.1,25,10,11,IRC,0.97074,1,74
empty-32-32,0.8,0.1,25,10,12,RCbssEff,0.93893,1,63
empty-32-32,0.8,0.1,25,10,12,IDP,0.99165,1,63
empty-32-32,0.8,0.1,25,10,12,IRC,3.29775,1,63
empty-32-32,0.8,0.1,25,10,13,RCbssEff,1.34528,1,67
empty-32-32,0.8,0.1,25,10,13,IDP,0.98392,1,67
empty-32-32,0.8,0.1,25,10,13,IRC,1.00223,1,72
empty-32-32,0.8,0.1,25,10,14,RCbssEff,0.94194,1,74
empty-32-32,0.8,0.1,25,10,14,IDP,0.92913,1,74
empty-32-32,0.8,0.1,25,10,14,IRC,0.91459,1,87
empty-32-32,0.8,0.1,25,10,15,RCbssEff,0.99123,1,58
empty-32-32,0.8,0.1,25,10,15,IDP,1.01063,1,58
empty-32-32,0.8,0.1,25,10,15,IRC,0.99572,1,63
empty-32-32,0.8,0.1,25,10,16,RCbssEff,0.90043,1,56
empty-32-32,0.8,0.1,25,10,16,IDP,0.90294,1,56
empty-32-32,0.8,0.1,25,10,16,IRC,1.36417,1,60
empty-32-32,0.8,0.1,25,10,17,RCbssEff,0.96842,1,43
