Map,Safe prob,Delay prob,Number of agents,Number of goals,Instance,Algorithm,Runtime,Calls to EGTSP\TSP
empty-32-32,0.8,0.1,3,30,5,RCbssBase,,
empty-32-32,0.8,0.1,3,30,6,RCbssEff,2.35442,1
empty-32-32,0.8,0.1,3,30,6,RCbssBase,,
empty-32-32,0.8,0.1,3,30,7,RCbssEff,2.51528,1
empty-32-32,0.8,0.1,3,30,7,RCbssBase,,
empty-32-32,0.8,0.1,3,30,8,RCbssEff,2.36501,1
empty-32-32,0.8,0.1,3,30,8,RCbssBase,,
empty-32-32,0.8,0.1,3,30,9,RCbssEff,2.19749,1
empty-32-32,0.8,0.1,3,30,9,RCbssBase,,
empty-32-32,0.8,0.1,3,30,10,RCbssEff,2.29437,1
empty-32-32,0.8,0.1,3,30,10,RCbssBase,,
empty-32-32,0.8,0.1,3,30,11,RCbssEff,2.30798,1
empty-32-32,0.8,0.1,3,30,11,RCbssBase,,
empty-32-32,0.8,0.1,3,30,12,RCbssEff,1.99601,1
empty-32-32,0.8,0.1,3,30,12,RCbssBase,,
empty-32-32,0.8,0.1,3,30,13,RCbssEff,2.45549,1
empty-32-32,0.8,0.1,3,30,13,RCbssBase,,
empty-32-32,0.8,0.1,3,30,14,RCbssEff,2.34919,1
empty-32-32,0.8,0.1,3,30,14,RCbssBase,,
empty-32-32,0.8,0.1,3,30,15,RCbssEff,2.07839,1
empty-32-32,0.8,0.1,3,30,15,RCbssBase,,
empty-32-32,0.8,0.1,3,30,16,RCbssEff,2.16984,1
empty-32-32,0.8,0.1,3,30,16,RCbssBase,,
empty-32-32,0.8,0.1,3,30,17,RCbssEff,2.41387,1
empty-32-32,0.8,0.1,3,30,17,RCbssBase,,
empty-32-32,0.8,0.1,3,30,18,RCbssEff,2.25582,1
empty-32-32,0.8,0.1,3,30,18,RCbssBase,,
empty-32-32,0.8,0.1,3,30,19,RCbssEff,2.55737,1
empty-32-32,0.8,0.1,3,30,19,RCbssBase,,
empty-32-32,0.8,0.1,3,30,20,RCbssEff,2.52314,1
empty-32-32,0.8,0.1,3,30,20,RCbssBase,,
empty-32-32,0.8,0.1,3,40,1,RCbssEff,4.03964,1
empty-32-32,0.8,0.1,3,40,1,RCbssBase,,
empty-32-32,0.8,0.1,3,40,2,RCbssEff,3.72271,1
empty-32-32,0.8,0.1,3,40,2,RCbssBase,,
empty-32-32,0.8,0.1,3,40,3,RCbssEff,4.06556,1
empty-32-32,0.8,0.1,3,40,3,RCbssBase,,
empty-32-32,0.8,0.1,3,40,4,RCbssEff,4.16643,1
empty-32-32,0.8,0.1,3,40,4,RCbssBase,,
empty-32-32,0.8,0.1,3,40,5,RCbssEff,4.28823,1
empty-32-32,0.8,0.1,3,40,5,RCbssBase,,
empty-32-32,0.8,0.1,3,40,6,RCbssEff,3.88724,1
empty-32-32,0.8,0.1,3,40,6,RCbssBase,,
empty-32-32,0.8,0.1,3,40,7,RCbssEff,4.21176,1
empty-32-32,0.8,0.1,3,40,7,RCbssBase,,
empty-32-32,0.8,0.1,3,40,8,RCbssEff,3.51528,1
empty-32-32,0.8,0.1,3,40,8,RCbssBase,,
empty-32-32,0.8,0.1,3,40,9,RCbssEff,4.04286,1
empty-32-32,0.8,0.1,3,40,9,RCbssBase,,
empty-32-32,0.8,0.1,3,40,10,RCbssEff,3.94404,1
empty-32-32,0.8,0.1,3,40,10,RCbssBase,,
empty-32-32,0.8,0.1,3,40,11,RCbssEff,3.52521,1
empty-32-32,0.8,0.1,3,40,11,RCbssBase,,
empty-32-32,0.8,0.1,3,40,12,RCbssEff,3.6293,1
empty-32-32,0.8,0.1,3,40,12,RCbssBase,,
empty-32-32,0.8,0.1,3,40,13,RCbssEff,4.20743,1
empty-32-32,0.8,0.1,3,40,13,RCbssBase,,
empty-32-32,0.8,0.1,3,40,14,RCbssEff,3.89351,1
empty-32-32,0.8,0.1,3,40,14,RCbssBase,,
empty-32-32,0.8,0.1,3,40,15,RCbssEff,3.70702,1
empty-32-32,0.8,0.1,3,40,15,RCbssBase,,
empty-32-32,0.8,0.1,3,40,16,RCbssEff,3.77563,1
empty-32-32,0.8,0.1,3,40,16,RCbssBase,,
empty-32-32,0.8,0.1,3,40,17,RCbssEff,4.14257,1
empty-32-32,0.8,0.1,3,40,17,RCbssBase,,
empty-32-32,0.8,0.1,3,40,18,RCbssEff,4.23265,1
empty-32-32,0.8,0.1,3,40,18,RCbssBase,,
empty-32-32,0.8,0.1,3,40,19,RCbssEff,3.87115,1
empty-32-32,0.8,0.1,3,40,19,RCbssBase,,
empty-32-32,0.8,0.1,3,40,20,RCbssEff,4.05531,1
empty-32-32,0.8,0.1,3,40,20,RCbssBase,,
empty-32-32,0.8,0.1,3,50,1,RCbssEff,5.98317,1
empty-32-32,0.8,0.1,3,50,1,RCbssBase,,
empty-32-32,0.8,0.1,3,50,2,RCbssEff,5.66029,1
empty-32-32,0.8,0.1,3,50,2,RCbssBase,,
empty-32-32,0.8,0.1,3,50,3,RCbssEff,6.34464,1
empty-32-32,0.8,0.1,3,50,3,RCbssBase,,
empty-32-32,0.8,0.1,3,50,4,RCbssEff,5.47765,1
empty-32-32,0.8,0.1,3,50,4,RCbssBase,,
empty-32-32,0.8,0.1,3,50,5,RCbssEff,5.46349,1
empty-32-32,0.8,0.1,3,50,5,RCbssBase,,
empty-32-32,0.8,0.1,3,50,6,RCbssEff,5.40013,1
empty-32-32,0.8,0.1,3,50,6,RCbssBase,,
empty-32-32,0.8,0.1,3,50,7,RCbssEff,6.95278,1
empty-32-32,0.8,0.1,3,50,7,RCbssBase,,
empty-32-32,0.8,0.1,3,50,8,RCbssEff,5.73684,1
empty-32-32,0.8,0.1,3,50,8,RCbssBase,,
empty-32-32,0.8,0.1,3,50,9,RCbssEff,5.66167,1
empty-32-32,0.8,0.1,3,50,9,RCbssBase,,
empty-32-32,0.8,0.1,3,50,10,RCbssEff,5.18647,1
empty-32-32,0.8,0.1,3,50,10,RCbssBase,,
empty-32-32,0.8,0.1,3,50,11,RCbssEff,6.23354,1
empty-32-32,0.8,0.1,3,50,11,RCbssBase,,
empty-32-32,0.8,0.1,3,50,12,RCbssEff,6.0303,1
empty-32-32,0.8,0.1,3,50,12,RCbssBase,,
empty-32-32,0.8,0.1,3,50,13,RCbssEff,5.73929,1
empty-32-32,0.8,0.1,3,50,13,RCbssBase,,
empty-32-32,0.8,0.1,3,50,14,RCbssEff,5.67929,1
empty-32-32,0.8,0.1,3,50,14,RCbssBase,,
empty-32-32,0.8,0.1,3,50,15,RCbssEff,6.0572,1
empty-32-32,0.8,0.1,3,50,15,RCbssBase,,
empty-32-32,0.8,0.1,3,50,16,RCbssEff,6.12648,1
empty-32-32,0.8,0.1,3,50,16,RCbssBase,,
empty-32-32,0.8,0.1,3,50,17,RCbssEff,5.54085,1
empty-32-32,0.8,0.1,3,50,17,RCbssBase,,
empty-32-32,0.8,0.1,3,50,18,RCbssEff,5.69483,1
empty-32-32,0.8,0.1,3,50,18,RCbssBase,,
empty-32-32,0.8,0.1,3,50,19,RCbssEff,6.09285,1
empty-32-32,0.8,0.1,3,50,19,RCbssBase,,
empty-32-32,0.8,0.1,3,50,20,RCbssEff,5.81351,1
empty-32-32,0.8,0.1,3,50,20,RCbssBase,,
empty-32-32,0.8,0.1,5,6,1,RCbssEff,0.35821,1
empty-32-32,0.8,0.1,5,6,1,RCbssBase,1.41277,74
empty-32-32,0.8,0.1,5,6,2,RCbssEff,0.34207,1
empty-32-32,0.8,0.1,5,6,2,RCbssBase,1.74942,86
empty-32-32,0.8,0.1,5,6,3,RCbssEff,0.36885,1
empty-32-32,0.8,0.1,5,6,3,RCbssBase,1.96838,105
empty-32-32,0.8,0.1,5,6,4,RCbssEff,0.38726,1
empty-32-32,0.8,0.1,5,6,4,RCbssBase,0.49874,26
empty-32-32,0.8,0.1,5,6,5,RCbssEff,0.37916,1
empty-32-32,0.8,0.1,5,6,5,RCbssBase,0.56314,29
empty-32-32,0.8,0.1,5,6,6,RCbssEff,0.37831,1
empty-32-32,0.8,0.1,5,6,6,RCbssBase,0.66402,35
empty-32-32,0.8,0.1,5,6,7,RCbssEff,0.37656,1
empty-32-32,0.8,0.1,5,6,7,RCbssBase,0.98967,44
empty-32-32,0.8,0.1,5,6,8,RCbssEff,0.37197,1
empty-32-32,0.8,0.1,5,6,8,RCbssBase,1.16842,61
empty-32-32,0.8,0.1,5,6,9,RCbssEff,0.3584,1
empty-32-32,0.8,0.1,5,6,9,RCbssBase,1.58818,76
empty-32-32,0.8,0.1,5,6,10,RCbssEff,0.36877,1
empty-32-32,0.8,0.1,5,6,10,RCbssBase,1.48629,83
empty-32-32,0.8,0.1,5,6,11,RCbssEff,0.36486,1
empty-32-32,0.8,0.1,5,6,11,RCbssBase,2.14809,115
empty-32-32,0.8,0.1,5,6,12,RCbssEff,0.40409,1
empty-32-32,0.8,0.1,5,6,12,RCbssBase,1.0332,54
empty-32-32,0.8,0.1,5,6,13,RCbssEff,0.37738,1
empty-32-32,0.8,0.1,5,6,13,RCbssBase,0.94035,51
empty-32-32,0.8,0.1,5,6,14,RCbssEff,0.37489,1
empty-32-32,0.8,0.1,5,6,14,RCbssBase,2.50634,132
empty-32-32,0.8,0.1,5,6,15,RCbssEff,0.36068,1
empty-32-32,0.8,0.1,5,6,15,RCbssBase,1.37314,76
empty-32-32,0.8,0.1,5,6,16,RCbssEff,0.3798,1
empty-32-32,0.8,0.1,5,6,16,RCbssBase,0.59189,33
empty-32-32,0.8,0.1,5,6,17,RCbssEff,0.3693,1
empty-32-32,0.8,0.1,5,6,17,RCbssBase,1.18631,61
empty-32-32,0.8,0.1,5,6,18,RCbssEff,0.35897,1
empty-32-32,0.8,0.1,5,6,18,RCbssBase,1.29777,69
empty-32-32,0.8,0.1,5,6,19,RCbssEff,0.38076,1
empty-32-32,0.8,0.1,5,6,19,RCbssBase,6.50699,320
empty-32-32,0.8,0.1,5,6,20,RCbssEff,0.36928,1
empty-32-32,0.8,0.1,5,6,20,RCbssBase,1.21048,66
empty-32-32,0.8,0.1,5,10,1,RCbssEff,0.51197,1
empty-32-32,0.8,0.1,5,10,1,RCbssBase,7.73335,304
empty-32-32,0.8,0.1,5,10,2,RCbssEff,0.48476,1
empty-32-32,0.8,0.1,5,10,2,RCbssBase,,
empty-32-32,0.8,0.1,5,10,3,RCbssEff,0.54061,1
empty-32-32,0.8,0.1,5,10,3,RCbssBase,29.55378,988
empty-32-32,0.8,0.1,5,10,4,RCbssEff,0.56594,1
empty-32-32,0.8,0.1,5,10,4,RCbssBase,29.8981,748
empty-32-32,0.8,0.1,5,10,5,RCbssEff,0.53923,1
empty-32-32,0.8,0.1,5,10,5,RCbssBase,21.89263,718
empty-32-32,0.8,0.1,5,10,6,RCbssEff,0.57416,1
empty-32-32,0.8,0.1,5,10,6,RCbssBase,27.9041,885
empty-32-32,0.8,0.1,5,10,7,RCbssEff,0.53187,1
empty-32-32,0.8,0.1,5,10,7,RCbssBase,12.90135,335
empty-32-32,0.8,0.1,5,10,8,RCbssEff,0.537,1
empty-32-32,0.8,0.1,5,10,8,RCbssBase,,
empty-32-32,0.8,0.1,5,10,9,RCbssEff,0.56746,1
empty-32-32,0.8,0.1,5,10,9,RCbssBase,,
empty-32-32,0.8,0.1,5,10,10,RCbssEff,0.53359,1
empty-32-32,0.8,0.1,5,10,10,RCbssBase,,
empty-32-32,0.8,0.1,5,10,11,RCbssEff,0.53467,1
empty-32-32,0.8,0.1,5,10,11,RCbssBase,,
empty-32-32,0.8,0.1,5,10,12,RCbssEff,2.42895,1
empty-32-32,0.8,0.1,5,10,12,RCbssBase,52.75502,1430
empty-32-32,0.8,0.1,5,10,13,RCbssEff,0.55199,1
empty-32-32,0.8,0.1,5,10,13,RCbssBase,43.92003,1554
empty-32-32,0.8,0.1,5,10,14,RCbssEff,0.52782,1
empty-32-32,0.8,0.1,5,10,14,RCbssBase,,
empty-32-32,0.8,0.1,5,10,15,RCbssEff,0.57804,1
empty-32-32,0.8,0.1,5,10,15,RCbssBase,,
empty-32-32,0.8,0.1,5,10,16,RCbssEff,1.05082,1
empty-32-32,0.8,0.1,5,10,16,RCbssBase,46.59427,1304
empty-32-32,0.8,0.1,5,10,17,RCbssEff,0.5356,1
empty-32-32,0.8,0.1,5,10,17,RCbssBase,33.19452,1101
empty-32-32,0.8,0.1,5,10,18,RCbssEff,0.54405,1
empty-32-32,0.8,0.1,5,10,18,RCbssBase,,
empty-32-32,0.8,0.1,5,10,19,RCbssEff,0.54727,1
empty-32-32,0.8,0.1,5,10,19,RCbssBase,,
empty-32-32,0.8,0.1,5,10,20,RCbssEff,2.15026,1
empty-32-32,0.8,0.1,5,10,20,RCbssBase,28.42936,1012
empty-32-32,0.8,0.1,5,16,1,RCbssEff,0.85978,1
empty-32-32,0.8,0.1,5,16,1,RCbssBase,,
empty-32-32,0.8,0.1,5,16,2,RCbssEff,0.87549,1
empty-32-32,0.8,0.1,5,16,2,RCbssBase,,
empty-32-32,0.8,0.1,5,16,3,RCbssEff,0.87031,1
empty-32-32,0.8,0.1,5,16,3,RCbssBase,,
empty-32-32,0.8,0.1,5,16,4,RCbssEff,0.95532,1
empty-32-32,0.8,0.1,5,16,4,RCbssBase,,
empty-32-32,0.8,0.1,5,16,5,RCbssEff,0.93435,1
empty-32-32,0.8,0.1,5,16,5,RCbssBase,,
empty-32-32,0.8,0.1,5,16,6,RCbssEff,0.86122,1
empty-32-32,0.8,0.1,5,16,6,RCbssBase,,
empty-32-32,0.8,0.1,5,16,7,RCbssEff,0.90601,1
empty-32-32,0.8,0.1,5,16,7,RCbssBase,,
empty-32-32,0.8,0.1,5,16,8,RCbssEff,0.87077,1
empty-32-32,0.8,0.1,5,16,8,RCbssBase,,
empty-32-32,0.8,0.1,5,16,9,RCbssEff,0.95649,1
empty-32-32,0.8,0.1,5,16,9,RCbssBase,,
empty-32-32,0.8,0.1,5,16,10,RCbssEff,0.84856,1
empty-32-32,0.8,0.1,5,16,10,RCbssBase,,
empty-32-32,0.8,0.1,5,16,11,RCbssEff,0.90756,1
empty-32-32,0.8,0.1,5,16,11,RCbssBase,,
empty-32-32,0.8,0.1,5,16,12,RCbssEff,0.84474,1
empty-32-32,0.8,0.1,5,16,12,RCbssBase,,
empty-32-32,0.8,0.1,5,16,13,RCbssEff,0.87641,1
empty-32-32,0.8,0.1,5,16,13,RCbssBase,,
empty-32-32,0.8,0.1,5,16,14,RCbssEff,0.84135,1
empty-32-32,0.8,0.1,5,16,14,RCbssBase,,
empty-32-32,0.8,0.1,5,16,15,RCbssEff,0.92774,1
empty-32-32,0.8,0.1,5,16,15,RCbssBase,,
empty-32-32,0.8,0.1,5,16,16,RCbssEff,0.91456,1
empty-32-32,0.8,0.1,5,16,16,RCbssBase,,
empty-32-32,0.8,0.1,5,16,17,RCbssEff,0.93238,1
empty-32-32,0.8,0.1,5,16,17,RCbssBase,,
empty-32-32,0.8,0.1,5,16,18,RCbssEff,0.88798,1
empty-32-32,0.8,0.1,5,16,18,RCbssBase,,
empty-32-32,0.8,0.1,5,16,19,RCbssEff,0.93745,1
empty-32-32,0.8,0.1,5,16,19,RCbssBase,,
